k,race,n,Accuracy,F1
0,AfricanAmerican,3821,0.6210416121434179,0.616590233296889
0,Asian,115,0.6086956521739131,0.5533535492414816
0,Caucasian,14970,0.6156980627922511,0.6147847753727436
0,Hispanic,410,0.6585365853658537,0.639989925079107
0,Other,295,0.6305084745762712,0.5915011765217961
2,AfricanAmerican,3821,0.6218267469248888,0.6174077088533907
2,Asian,115,0.6173913043478261,0.5432569429570929
2,Caucasian,14970,0.615564462257849,0.6146449170348084
2,Hispanic,410,0.6731707317073171,0.6505832449628844
2,Other,295,0.6474576271186441,0.6112697625383559
5,AfricanAmerican,3821,0.6228735933001832,0.6186941973296642
5,Asian,115,0.6086956521739131,0.5457084125198775
5,Caucasian,14970,0.6158984635938544,0.6148673667901158
5,Hispanic,410,0.6707317073170732,0.6452899545481109
5,Other,295,0.6508474576271186,0.6139873502912385
10,AfricanAmerican,3821,0.6231353048940068,0.6184276047398699
10,Asian,115,0.6173913043478261,0.5338969404186795
10,Caucasian,14970,0.6149632598530395,0.6137763046810144
10,Hispanic,410,0.6707317073170732,0.6430145138896932
10,Other,295,0.6440677966101694,0.6085540111067804
25,AfricanAmerican,3821,0.6207799005495943,0.6146402965092894
25,Asian,115,0.6434782608695652,0.6364476722613089
25,Caucasian,14970,0.6175684702738811,0.6154598440414286
25,Hispanic,410,0.6682926829268293,0.6409541677834362
25,Other,295,0.6542372881355932,0.6187453440280027
50,AfricanAmerican,3821,0.6210416121434179,0.6159182084263688
50,Asian,115,0.6347826086956522,0.6288240520478061
50,Caucasian,14970,0.618436873747495,0.6138364148862516
50,Hispanic,410,0.6634146341463415,0.6510494183397625
50,Other,295,0.6610169491525424,0.6466131393492169
