modelo,k,b,c,chi2,p_value,significativo_005,p_bonferroni,significativo_bonf
LR,2,604,617,0.1179361179361179,0.7312838061826905,False,1.0,False
RF,2,586,502,6.331801470588236,0.0118591795261899,True,0.237183590523798,False
DT,2,792,780,0.076972010178117,0.7814435764174652,False,1.0,False
NB,2,220,282,7.412350597609562,0.0064777634054447,True,0.129555268108894,False
LR,5,574,595,0.3421727972626176,0.5585777191982211,False,1.0,False
RF,5,512,490,0.4401197604790419,0.5070646577452282,False,1.0,False
DT,5,907,881,0.3495525727069351,0.5543665171279148,False,1.0,False
NB,5,1997,1323,136.42439759036145,0.0,True,0.0,True
LR,10,586,593,0.0305343511450381,0.8612832982937529,False,1.0,False
RF,10,599,530,4.095659875996457,0.0429934443162859,True,0.859868886325718,False
DT,10,1656,1716,1.0323250296559905,0.3096132100043659,False,1.0,False
NB,10,1942,1282,134.7025434243176,0.0,True,0.0,True
LR,25,715,757,1.1419836956521738,0.285233552568396,False,1.0,False
RF,25,793,735,2.12630890052356,0.1447890463642508,False,1.0,False
DT,25,2772,2444,20.50019171779141,5.9625278887587285e-06,True,0.00011925055777517457,True
NB,25,1937,1277,135.12165525824517,0.0,True,0.0,True
LR,50,760,815,1.8514285714285716,0.1736173344249434,False,1.0,False
RF,50,515,504,0.0981354268891069,0.7540787729279009,False,1.0,False
DT,50,2740,2391,23.602416682907812,1.184386742680843e-06,True,2.368773485361686e-05,True
NB,50,2361,1552,166.84487605417837,0.0,True,0.0,True
