Modelo,Accuracy,F1-Score,k,pct_suprimido,filas_efectivas,columnas_OHE
Regresión Logística,0.6178165315384223,0.6159472729916176,0,0.0,78442,121
Random Forest,0.6299525776350008,0.6276672204936056,0,0.0,78442,121
Árbol de Decisión,0.6137881801030034,0.6138196742742675,0,0.0,78442,121
Naive Bayes (Gaussian),0.5911988169904645,0.5598642462061619,0,0.0,78442,121
Regresión Logística,0.6184794248126052,0.6165671871771146,2,1.17,77524,159
Random Forest,0.6256692672479731,0.6250317982385973,2,1.17,77524,159
Árbol de Decisión,0.6131762786191424,0.6135864396533071,2,1.17,77524,159
Naive Bayes (Gaussian),0.5943603079904135,0.5688748200806575,2,1.17,77524,159
Regresión Logística,0.6188873591351792,0.6168834122067259,5,1.87,76975,149
Random Forest,0.6288307582479221,0.6279941385330703,5,1.87,76975,149
Árbol de Decisión,0.6124623935546377,0.6128897314029882,5,1.87,76975,149
Naive Bayes (Gaussian),0.5568303503135995,0.4496602734398697,5,1.87,76975,149
Regresión Logística,0.6181734740706746,0.61591271935575,10,4.08,75238,149
Random Forest,0.6264341441027994,0.6257670281665577,10,4.08,75238,149
Árbol de Decisión,0.6168476875223089,0.613876594222638,10,4.08,75238,149
Naive Bayes (Gaussian),0.5575442353781042,0.4535624593382655,10,4.08,75238,149
Regresión Logística,0.6199581867319361,0.6167022362526189,25,5.2,74363,154
Random Forest,0.6269950537963388,0.6267776608054486,25,5.2,74363,154
Árbol de Decisión,0.5970628728774667,0.5975189839819968,25,5.2,74363,154
Naive Bayes (Gaussian),0.5575442353781042,0.4543056884739766,25,5.2,74363,154
Regresión Logística,0.620621080006119,0.6156552986080153,50,5.06,74470,155
Random Forest,0.6293916679414614,0.6278472232829967,50,5.06,74470,155
Árbol de Decisión,0.5959920452807098,0.5964515344439707,50,5.06,74470,155
Naive Bayes (Gaussian),0.5499464586201621,0.42066645802268443,50,5.06,74470,155
