k,l,t,tipo,archivo,race,n,Accuracy
5,,,k_solo,arx_output_k5.csv,Caucasian,14970,0.6158984635938544
5,,,k_solo,arx_output_k5.csv,AfricanAmerican,3821,0.6228735933001832
5,,,k_solo,arx_output_k5.csv,Other,295,0.6508474576271186
5,,,k_solo,arx_output_k5.csv,Hispanic,410,0.6707317073170732
5,,,k_solo,arx_output_k5.csv,Asian,115,0.6086956521739131
5,2.0,,l_div,arx_output_k5_l2.csv,Caucasian,14970,0.6157648630594522
5,2.0,,l_div,arx_output_k5_l2.csv,AfricanAmerican,3821,0.6226118817063596
5,2.0,,l_div,arx_output_k5_l2.csv,Other,295,0.6440677966101694
5,2.0,,l_div,arx_output_k5_l2.csv,Hispanic,410,0.6707317073170732
5,2.0,,l_div,arx_output_k5_l2.csv,Asian,115,0.6086956521739131
5,3.0,,l_div,arx_output_k5_l3.csv,Caucasian,14970,0.6152304609218436
5,3.0,,l_div,arx_output_k5_l3.csv,AfricanAmerican,3821,0.6220884585187124
5,3.0,,l_div,arx_output_k5_l3.csv,Other,295,0.6440677966101694
5,3.0,,l_div,arx_output_k5_l3.csv,Hispanic,410,0.6707317073170732
5,3.0,,l_div,arx_output_k5_l3.csv,Asian,115,0.6086956521739131
5,5.0,,l_div,arx_output_k5_l5.csv,Caucasian,14970,0.6151636606546426
5,5.0,,l_div,arx_output_k5_l5.csv,AfricanAmerican,3821,0.6228735933001832
5,5.0,,l_div,arx_output_k5_l5.csv,Other,295,0.6474576271186441
5,5.0,,l_div,arx_output_k5_l5.csv,Hispanic,410,0.6682926829268293
5,5.0,,l_div,arx_output_k5_l5.csv,Asian,115,0.6347826086956522
5,,0.5,t_clos,arx_output_k5_t05.csv,Caucasian,14970,0.6133600534402137
5,,0.5,t_clos,arx_output_k5_t05.csv,AfricanAmerican,3821,0.622350170112536
5,,0.5,t_clos,arx_output_k5_t05.csv,Other,295,0.6508474576271186
5,,0.5,t_clos,arx_output_k5_t05.csv,Hispanic,410,0.6634146341463415
5,,0.5,t_clos,arx_output_k5_t05.csv,Asian,115,0.6086956521739131
5,,0.4,t_clos,arx_output_k5_t04.csv,Caucasian,14970,0.6131596526386106
5,,0.4,t_clos,arx_output_k5_t04.csv,AfricanAmerican,3821,0.6231353048940068
5,,0.4,t_clos,arx_output_k5_t04.csv,Other,295,0.6508474576271186
5,,0.4,t_clos,arx_output_k5_t04.csv,Hispanic,410,0.6707317073170732
5,,0.4,t_clos,arx_output_k5_t04.csv,Asian,115,0.6260869565217392
5,,0.35,t_clos,arx_output_k5_t035.csv,Caucasian,14970,0.612625250501002
5,,0.35,t_clos,arx_output_k5_t035.csv,AfricanAmerican,3821,0.6228735933001832
5,,0.35,t_clos,arx_output_k5_t035.csv,Other,295,0.6508474576271186
5,,0.35,t_clos,arx_output_k5_t035.csv,Hispanic,410,0.6707317073170732
5,,0.35,t_clos,arx_output_k5_t035.csv,Asian,115,0.6086956521739131
5,,0.3,t_clos,arx_output_k5_t03.csv,Caucasian,14970,0.6132264529058116
5,,0.3,t_clos,arx_output_k5_t03.csv,AfricanAmerican,3821,0.6186862077990055
5,,0.3,t_clos,arx_output_k5_t03.csv,Other,295,0.6440677966101694
5,,0.3,t_clos,arx_output_k5_t03.csv,Hispanic,410,0.6560975609756098
5,,0.3,t_clos,arx_output_k5_t03.csv,Asian,115,0.6173913043478261
5,,0.25,t_clos,arx_output_k5_t025.csv,Caucasian,14970,0.6055444221776887
5,,0.25,t_clos,arx_output_k5_t025.csv,AfricanAmerican,3821,0.6105731483904737
5,,0.25,t_clos,arx_output_k5_t025.csv,Other,295,0.6644067796610169
5,,0.25,t_clos,arx_output_k5_t025.csv,Hispanic,410,0.6658536585365854
5,,0.25,t_clos,arx_output_k5_t025.csv,Asian,115,0.6086956521739131
5,5.0,0.3,triple_hard,arx_output_k5_l5_t03.csv,Caucasian,14970,0.6131596526386106
5,5.0,0.3,triple_hard,arx_output_k5_l5_t03.csv,AfricanAmerican,3821,0.6186862077990055
5,5.0,0.3,triple_hard,arx_output_k5_l5_t03.csv,Other,295,0.6440677966101694
5,5.0,0.3,triple_hard,arx_output_k5_l5_t03.csv,Hispanic,410,0.6560975609756098
5,5.0,0.3,triple_hard,arx_output_k5_l5_t03.csv,Asian,115,0.6173913043478261
5,5.0,0.25,triple_extreme,arx_output_k5_l5_t025.csv,Caucasian,14970,0.6055444221776887
5,5.0,0.25,triple_extreme,arx_output_k5_l5_t025.csv,AfricanAmerican,3821,0.6105731483904737
5,5.0,0.25,triple_extreme,arx_output_k5_l5_t025.csv,Other,295,0.6644067796610169
5,5.0,0.25,triple_extreme,arx_output_k5_l5_t025.csv,Hispanic,410,0.6658536585365854
5,5.0,0.25,triple_extreme,arx_output_k5_l5_t025.csv,Asian,115,0.6086956521739131
